,NO,TIME_PRACTICE1,GAP_PRACTICE1,LAPS_PRACTICE1
0,33,1:25.009,,23
1,77,1:25.205,+0.196s,27
2,44,1:25.355,+0.346s,25
3,11,1:25.363,+0.354s,24
4,22,1:25.378,+0.369s,23
5,14,1:25.625,+0.616s,26
6,10,1:25.822,+0.813s,28
7,16,1:25.846,+0.837s,20
8,55,1:25.886,+0.877s,26
9,5,1:26.007,+0.998s,26
10,31,1:26.025,+1.016s,25
11,4,1:26.123,+1.114s,26
12,7,1:26.189,+1.180s,25
13,99,1:26.409,+1.400s,25
14,18,1:26.608,+1.599s,26
15,3,1:26.676,+1.667s,29
16,89,1:27.481,+2.472s,27
17,6,1:27.487,+2.478s,27
18,47,1:27.698,+2.689s,24
19,9,1:28.305,+3.296s,22
